head,relation,tail,source_text
OpenAI,FOUNDED_BY,Sam Altman,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_BY,Elon Musk,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_BY,Greg Brockman,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_BY,Ilya Sutskever,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_BY,Wojciech Zaremba,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_BY,John Schulman,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,FOUNDED_IN,2015,"OpenAI was founded by Sam Altman, Elon Musk, Greg Brockman, Ilya Sutskever, Wojciech Zaremba, and John Schulman in 2015."
OpenAI,HEADQUARTERED_IN,San Francisco,OpenAI is headquartered in San Francisco.
Sam Altman,CEO_OF,OpenAI,Sam Altman is the CEO of OpenAI.
Microsoft,INVESTED_IN,OpenAI,Microsoft invested in OpenAI in 2023.
Microsoft,INVESTMENT_YEAR,2023,Microsoft invested in OpenAI in 2023.
ChatGPT,LAUNCHED_BY,OpenAI,ChatGPT was launched by OpenAI in 2022.
ChatGPT,LAUNCHED_IN,2022,ChatGPT was launched by OpenAI in 2022.
Google,FOUNDED_BY,Larry Page,Google was founded by Larry Page and Sergey Brin in 1998.
Google,FOUNDED_BY,Sergey Brin,Google was founded by Larry Page and Sergey Brin in 1998.
Google,FOUNDED_IN,1998,Google was founded by Larry Page and Sergey Brin in 1998.
Sundar Pichai,CEO_OF,Google,Sundar Pichai is the CEO of Google.
Google,ACQUIRED,YouTube,Google acquired YouTube in 2006.
Google,ACQUIRED_IN,2006,Google acquired YouTube in 2006.
Google,ACQUIRED,Deepmind,Google acquired DeepMind in 2014.
Google,ACQUIRED_IN,2014,Google acquired DeepMind in 2014.
Google,OWNS,Android,Google owns Android.
Google,HEADQUARTERED_IN,Mountain View,Google is headquartered in Mountain View.
Deepmind,FOUNDED_BY,Demis Hassabis,"DeepMind was founded by Demis Hassabis, Shane Legg, and Mustafa Suleyman in 2010."
Deepmind,FOUNDED_BY,Shane Legg,"DeepMind was founded by Demis Hassabis, Shane Legg, and Mustafa Suleyman in 2010."
Deepmind,FOUNDED_BY,Mustafa Suleyman,"DeepMind was founded by Demis Hassabis, Shane Legg, and Mustafa Suleyman in 2010."
Deepmind,FOUNDED_IN,2010,"DeepMind was founded by Demis Hassabis, Shane Legg, and Mustafa Suleyman in 2010."
Deep Mind,HEADQUARTERED_IN,London,DeepMind is headquartered in London.
Microsoft,FOUNDED_BY,Bill Gates,Microsoft was founded by Bill Gates and Paul Allen in 1975.
Microsoft,FOUNDED_BY,Paul Allen,Microsoft was founded by Bill Gates and Paul Allen in 1975.
Microsoft,FOUNDED_IN,1975,Microsoft was founded by Bill Gates and Paul Allen in 1975.
Satya Nadella,CEO_OF,Microsoft,Satya Nadella is the CEO of Microsoft.
Microsoft,ACQUIRED,GitHub,Microsoft acquired GitHub in 2018.
GitHub,ACQUIRED_BY,Microsoft,Microsoft acquired GitHub in 2018.
Microsoft,ACQUISITION_YEAR,2018,Microsoft acquired GitHub in 2018.
Microsoft,ACQUIRED,LinkedIn,Microsoft acquired LinkedIn in 2016.
Microsoft,ACQUIRED_IN,2016,Microsoft acquired LinkedIn in 2016.
Microsoft,HEADQUARTERED_IN,Redmond,Microsoft is headquartered in Redmond.
GitHub,FOUNDED_BY,Tom Preston-Werner,"GitHub was founded by Tom Preston-Werner, Chris Wanstrath, and PJ Hyett in 2008."
GitHub,FOUNDED_BY,Chris Wanstrath,"GitHub was founded by Tom Preston-Werner, Chris Wanstrath, and PJ Hyett in 2008."
GitHub,FOUNDED_BY,Pj Hyett,"GitHub was founded by Tom Preston-Werner, Chris Wanstrath, and PJ Hyett in 2008."
GitHub,FOUNDED_IN,2008,"GitHub was founded by Tom Preston-Werner, Chris Wanstrath, and PJ Hyett in 2008."
GitHub,HEADQUARTERED_IN,San Francisco,GitHub is headquartered in San Francisco.
